"Name","Address","Signal Level","Channel","Security","WPS Support","Time","Longitude","Latitude"
"adv","22:b0:01:ef:fa:81","-64","1","WPA2","WPS","2021-07-22 03:33:40","4.0231144","50.69167663"
"adv","f4:06:8d:cc:05:d5","-66","6","WPA2","WPS","2021-07-22 03:33:40","4.0231144","50.69167663"
"adv","20:b0:01:ef:fa:79","-66","112","WPA2","WPS","2021-07-22 03:33:40","4.0231144","50.69167663"
"DIRECT-E7-HP ENVY Photo 6200","86:a9:3e:97:e1:e7","-77","1","WPA2","WPS","2021-07-22 03:33:40","4.0231144","50.69167663"
"WiFi-2.4-DECA","68:15:90:16:de:d0","-74","1","WPA2","WPS","2021-07-22 03:33:40","4.0231144","50.69167663"
"WiFi-5.0-DECA","68:15:90:16:de:d1","-78","112","WPA2","WPS","2021-07-22 03:33:40","4.0231144","50.69167663"
"Empty","98:da:c4:ed:da:b8","-87","13","WPA2","NO","2021-07-22 03:33:40","4.0231144","50.69167663"
"wlan-f4068dcd5c59","f4:06:8d:cd:5c:59","-90","6","WPA2","WPS","2021-07-22 03:33:40","4.0231144","50.69167663"
"adv","38:a6:59:83:6b:7e","-84","11","WPA2","WPS","2021-07-22 03:35:35","4.02312528","50.69174753"
"Pkrt8-2.4-C5E8","a4:b1:e9:eb:c5:e8","-85","11","WPA2","WPS","2021-07-22 03:37:37","4.02308615","50.6917601"
"Proximus Public Wi-Fi","a6:b1:e9:eb:c5:eb","-85","11","WPA2","NO","2021-07-22 03:37:46","4.02308597","50.69176021"
"Orange-f884d","c8:b4:22:bf:88:51","-90","11","WPA2","WPS","2021-07-22 03:37:46","4.02308597","50.69176021"
"adv","22:b0:01:ef:fa:81","-57","1","WPA2","WPS","2021-07-22 03:39:38","4.02308931","50.69176495"
"Batcave","3c:84:6a:15:57:2a","-90","12","WPA2","WPS","2021-07-22 03:39:41","4.02308931","50.69176497"
"totof666","68:15:90:0f:a3:98","-88","1","WPA2","WPS","2021-07-22 03:39:44","4.02308941","50.69176488"
"WiFi-2.4-5D62","38:35:fb:2d:5d:68","-87","1","WPA2","WPS","2021-07-22 03:43:39","4.02310299","50.69176919"
